CustomerID,Name,Email,Phone,City,Country,Address,DOB,CreatedAt,UpdatedAt
820865d6-e005-4860-91ef-1922fe43c49e,Norma Fisher,ysullivan@yahoo.com,513.933.2871,Howardborough,Australia,"5938 Ramos Pike Suite 080, Lake Marytown, NM 44165",1959-11-10,2024-02-29 03:52:00,2020-12-04 19:56:33
2ba4b180-cb69-4a38-9f3f-563838701a14,Eddie Martinez,tamaramorrison@hotmail.com,001-515-917-9533x041,Lindon,India,"86848 Melissa Springs, Rileymouth, TN 84543",2002-05-20,2022-10-30 03:41:33,2023-08-16 22:38:25
e66cd36e-68ef-4f5f-ae68-690a78bc7175,Ashlee Thomas,montoyacynthia@guzman.com,022.584.1972,South Jasonton,Brazil,"2087 Candace Squares Suite 345, Masseyshire, UT 88665",1955-04-14,2024-11-03 04:07:17,2024-04-29 03:58:26
77863fe5-d675-4bf7-8fe3-0c9a53710f57,Mariah Price,annsmith@hotmail.com,001-027-142-7878x900,West Joanneside,India,"523 Dana Lane, Johnsonshire, WI 87296",1988-01-15,2020-06-03 21:36:24,2023-07-13 18:53:21
17fd3736-b7ef-441c-9e00-ea6dca24be4d,Zachary Schultz,valeriemorales@butler.com,+1-236-940-2245,Joshuaburgh,Canada,"24000 Erin Point Suite 590, Josephmouth, NE 49318",1977-05-08,2022-11-16 22:11:35,2025-04-11 22:40:31
c9cd4af9-7d16-4f29-ab8f-205672d3cc5d,Derrick Hernandez,ralph82@yahoo.com,133-060-1688,Robertville,USA,"760 Rogers Spur, East Courtney, SC 11894",1974-02-08,2024-12-22 04:27:44,2021-11-05 23:35:54
ce9b2e70-b4d4-4fcc-b7d7-79cc4b5ca436,Jacob Hinton,ryanhoward@gmail.com,+1-389-305-5508x24926,Port Jasonberg,UK,"Unit 2966 Box 8757, DPO AA 83740",1994-01-20,2024-01-01 13:54:22,2020-07-25 04:05:43
fc98c279-cf6f-411c-a6c0-6e67b2ddc481,Kellie Sexton,davidturner@rivera-martin.com,(022)345-0076x2791,Lander,UK,"9930 Joy Hollow Suite 517, Sherriport, MT 50853",2000-03-21,2023-01-01 00:34:28,2023-07-01 08:50:06
e38690e7-e27a-48e9-91c3-d1bcc6be6432,John Ellis,bosborne@george.com,007-408-9933,Landis,India,"4183 Kimberly Mills, Katherinemouth, WY 83340",1960-09-29,2025-05-03 08:24:14,2024-04-09 22:37:04
4ae9ee11-f5fe-4213-b92e-cd7555c36c3d,Jennifer Torres,ronaldknight@walls.com,227.175.4203,South Samanthamouth,UK,"51923 Jamie Spring, Lake Adrianstad, AK 79779",1979-01-13,2022-07-09 17:12:25,2024-09-14 17:55:07
5723a959-7415-4acc-b5a3-e8933f7a2748,Catherine Kaiser,eric22@stewart.com,712-141-8927x6266,Lander,France,"513 Chen Route Apt. 660, Haydenmouth, IL 49206",1966-04-11,2024-06-13 23:42:13,2021-03-18 22:36:09
c9c5fef1-e76f-4a76-874f-11cdbdce29ef,Mark Miller,aaron79@smith-evans.com,321.644.8298x38168,Landis,Canada,"967 Julie Knoll Suite 391, North Lauraport, MA 15991",1981-11-01,2022-05-15 15:00:37,2022-06-27 00:03:00
e90f79f8-3578-4f66-a114-c2d650ea1324,Keith Taylor,jamesbrittany@castro.com,001-943-167-5625x66272,Burnshaven,France,"116 Michael Crescent, West Morganport, IN 18940",1990-01-20,2021-08-03 10:38:23,2023-10-11 20:18:38
51abf5e5-cb77-4e24-95eb-3a3de2014a45,William Simmons,yblair@gmail.com,021-639-6837x3591,Lindal,Australia,"7088 Carpenter Overpass Suite 735, Bobbyton, MI 01008",1995-08-25,2022-09-30 07:19:47,2024-07-22 23:41:11
a2652c9e-8942-4c6d-b64a-b5109acba588,Frederick Johnson,miguelclark@reed.com,324.556.1849x8347,Lindal,USA,"13126 Scott Club, Hansenfurt, HI 33233",1989-05-13,2022-03-21 20:40:26,2022-04-26 18:31:09
74a26444-7d3c-479b-9bce-228b989bb030,Bryan Logan,jessicawright@hobbs-osborn.com,001-793-323-6599x27190,Jeromeside,Brazil,"9220 Richardson Roads Apt. 262, New Vickie, WV 27567",1990-03-17,2022-08-17 02:17:05,2020-02-09 06:10:14
